Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Trading Symbol,Formatted Ins Name,Expiry Date,Lot Size,Tick Size
BCD,bcs_fo,USDINR,1044672,OPTCUR,CE,87.1,USDINR,USDINR26DEC25C87.1,USDINR 26th DEC 87.1 CE,2025-12-26,1,0.0025
BCD,bcs_fo,USDINR,1044673,OPTCUR,PE,87.1,USDINR,USDINR26DEC25P87.1,USDINR 26th DEC 87.1 PE,2025-12-26,1,0.0025
BCD,bcs_fo,USDINR,2171979,OPTCUR,CE,87.0,USDINR,USDINR26DEC25C87.0,USDINR 26th DEC 87.0 CE,2025-12-26,1,0.0025
BCD,bcs_fo,USDINR,2171959,OPTCUR,PE,87.0,USDINR,USDINR26DEC25P87.0,USDINR 26th DEC 87.0 PE,2025-12-26,1,0.0025
BCD,bcs_fo,USDINR,1044674,OPTCUR,CE,86.9,USDINR,USDINR26DEC25C86.9,USDINR 26th DEC 86.9 CE,2025-12-26,1,0.0025
BCD,bcs_fo,USDINR,1044675,OPTCUR,PE,86.9,USDINR,USDINR26DEC25P86.9,USDINR 26th DEC 86.9 PE,2025-12-26,1,0.0025
BCD,bcs_fo,USDINR,1044676,OPTCUR,CE,86.8,USDINR,USDINR26DEC25C86.8,USDINR 26th DEC 86.8 CE,2025-12-26,1,0.0025
BCD,bcs_fo,USDINR,1044677,OPTCUR,PE,86.8,USDINR,USDINR26DEC25P86.8,USDINR 26th DEC 86.8 PE,2025-12-26,1,0.0025
BCD,bcs_fo,USDINR,1044714,OPTCUR,CE,89.8,USDINR,USDINR26DEC25C89.8,USDINR 26th DEC 89.8 CE,2025-12-26,1,0.0025
BCD,bcs_fo,USDINR,1044715,OPTCUR,PE,89.8,USDINR,USDINR26DEC25P89.8,USDINR 26th DEC 89.8 PE,2025-12-26,1,0.0025
BCD,bcs_fo,USDINR,1044716,OPTCUR,CE,89.9,USDINR,USDINR26DEC25C89.9,USDINR 26th DEC 89.9 CE,2025-12-26,1,0.0025
BCD,bcs_fo,USDINR,1044717,OPTCUR,PE,89.9,USDINR,USDINR26DEC25P89.9,USDINR 26th DEC 89.9 PE,2025-12-26,1,0.0025
BCD,bcs_fo,USDINR,2172833,OPTCUR,CE,90.0,USDINR,USDINR26DEC25C90.0,USDINR 26th DEC 90.0 CE,2025-12-26,1,0.0025
BCD,bcs_fo,USDINR,2172826,OPTCUR,PE,90.0,USDINR,USDINR26DEC25P90.0,USDINR 26th DEC 90.0 PE,2025-12-26,1,0.0025
BCD,bcs_fo,USDINR,1044718,OPTCUR,CE,90.1,USDINR,USDINR26DEC25C90.1,USDINR 26th DEC 90.1 CE,2025-12-26,1,0.0025
BCD,bcs_fo,USDINR,1044719,OPTCUR,PE,90.1,USDINR,USDINR26DEC25P90.1,USDINR 26th DEC 90.1 PE,2025-12-26,1,0.0025
BCD,bcs_fo,USDINR,1044720,OPTCUR,CE,90.2,USDINR,USDINR26DEC25C90.2,USDINR 26th DEC 90.2 CE,2025-12-26,1,0.0025
BCD,bcs_fo,USDINR,1044721,OPTCUR,PE,90.2,USDINR,USDINR26DEC25P90.2,USDINR 26th DEC 90.2 PE,2025-12-26,1,0.0025
BCD,bcs_fo,USDINR,1044722,OPTCUR,CE,90.3,USDINR,USDINR26DEC25C90.3,USDINR 26th DEC 90.3 CE,2025-12-26,1,0.0025
BCD,bcs_fo,USDINR,1044723,OPTCUR,PE,90.3,USDINR,USDINR26DEC25P90.3,USDINR 26th DEC 90.3 PE,2025-12-26,1,0.0025
BCD,bcs_fo,USDINR,1044724,OPTCUR,CE,90.4,USDINR,USDINR26DEC25C90.4,USDINR 26th DEC 90.4 CE,2025-12-26,1,0.0025
BCD,bcs_fo,USDINR,1044725,OPTCUR,PE,90.4,USDINR,USDINR26DEC25P90.4,USDINR 26th DEC 90.4 PE,2025-12-26,1,0.0025
BCD,bcs_fo,USDINR,2171781,OPTCUR,CE,90.5,USDINR,USDINR26DEC25C90.5,USDINR 26th DEC 90.5 CE,2025-12-26,1,0.0025
BCD,bcs_fo,USDINR,2171771,OPTCUR,PE,90.5,USDINR,USDINR26DEC25P90.5,USDINR 26th DEC 90.5 PE,2025-12-26,1,0.0025
